scenario,step_percent,estimator,family,run_tier,n_mc_runs,tune_trials,tune_eval_runs,n_cost_reps,base_seed,tuning_base_seed,pipeline_method_version,tuning_elapsed_s,mc_eval_elapsed_s,total_elapsed_s
Sweep_AmplitudeStep_10pct,10.0,RLS,Adaptive,fast,30,300,8,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.699999797390774e-05,31.259325899998657,31.259399399998074
Sweep_AmplitudeStep_10pct,10.0,SOGI-FLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,3.489997470751405e-05,19.730413799989037,19.730467899993528
Sweep_AmplitudeStep_10pct,10.0,SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.6900030206888914e-05,21.554036499990616,21.554087099968456
Sweep_AmplitudeStep_10pct,10.0,TFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.240003181621432e-05,30.62286220001988,30.622924700030126
Sweep_AmplitudeStep_10pct,10.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.3300002794712782e-05,20.24513689999003,20.24518149998039
Sweep_AmplitudeStep_10pct,10.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.3899985030293465e-05,25.2337595000281,25.23382570000831
Sweep_AmplitudeStep_10pct,10.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.1599989850074053e-05,25.28930899995612,25.289349199971184
Sweep_AmplitudeStep_10pct,10.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00017660000594332814,11.99507329997141,11.995294699969236
Sweep_AmplitudeStep_150pct,150.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00028739997651427984,33.673254600027576,33.673841499956325
Sweep_AmplitudeStep_150pct,150.0,IPDFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.0199979189783335e-05,37.10153069999069,37.10157050000271
