scenario,step_percent,estimator,family,n_mc_runs,m1_rmse_hz_mean,m1_rmse_hz_median,m1_rmse_hz_p10,m1_rmse_hz_p90,m1_rmse_hz_std
Sweep_AmplitudeStep_15pct,15.0,TKEO,Adaptive,30,8.986499096864703,8.779840852604133,7.764815577781113,10.751332454574738,1.1892824146973835
Sweep_AmplitudeStep_15pct,15.0,PLL,Loop-based,30,0.2183970423098112,0.1657809337986626,0.16163379865553792,0.31494139776812025,0.13524112525912796
Sweep_AmplitudeStep_15pct,15.0,SOGI-FLL,Loop-based,30,0.005173365050004598,0.0051166331438506005,0.00452163305288464,0.00581107689474501,0.0005270954732285021
Sweep_AmplitudeStep_15pct,15.0,SOGI-PLL,Loop-based,30,0.017259298681188216,0.0158232953886168,0.005424931788430041,0.027404543620958392,0.010638486782510137
Sweep_AmplitudeStep_15pct,15.0,Type-3 SOGI-PLL,Loop-based,30,0.03245733295913391,0.024576453511604597,0.00644668672724111,0.06415872341439723,0.027417604438675545
Sweep_AmplitudeStep_15pct,15.0,ZCD,Loop-based,30,0.012141721947270749,0.011715911444679549,0.00631704133663554,0.017763584632622082,0.004306889040398799
Sweep_AmplitudeStep_15pct,15.0,EKF,Model-based,30,0.002857660284516753,0.0026824450853523,0.00044075204600155,0.00562064509637797,0.0020005867875871482
Sweep_AmplitudeStep_15pct,15.0,LKF,Model-based,30,0.004040711604365946,0.0040376826900154,0.00389771777316949,0.004152946844158891,8.952374999265062e-05
Sweep_AmplitudeStep_15pct,15.0,LKF2,Model-based,30,0.005868649485905555,0.0037716496137591,0.0019440866355923299,0.012612318986668971,0.004138590281133249
Sweep_AmplitudeStep_15pct,15.0,RA-EKF,Model-based,30,0.0006844843450479366,0.0005392301934035,0.00042934767480145,0.0011836868243237902,0.00038017713537664565
Sweep_AmplitudeStep_15pct,15.0,UKF,Model-based,30,0.0013075772538895468,0.00110649029071065,0.0005063400230077501,0.0024113997297778,0.0006854481446022897
Sweep_AmplitudeStep_15pct,15.0,IPDFT,Window-based,30,0.0021799986686946667,0.0023815951962992002,0.00069319945065962,0.00320292700378749,0.0009653294947570354
Sweep_AmplitudeStep_15pct,15.0,TFT,Window-based,30,0.00134521953720064,0.00143920758583215,0.0006974944093666501,0.00186830550518699,0.00048570271768486663
Sweep_AmplitudeStep_20pct,20.0,RLS,Adaptive,30,0.6780692669812814,0.6258226036030667,0.1647435296177646,1.1049062625899013,0.3467447259738875
Sweep_AmplitudeStep_20pct,20.0,TKEO,Adaptive,30,9.020079463931872,8.711407335397972,7.813950331251002,10.719045854353046,1.146581142563657
Sweep_AmplitudeStep_20pct,20.0,PLL,Loop-based,30,0.21845226260112352,0.1658138051350389,0.16169551142458466,0.31498558083802397,0.13522743028093961
Sweep_AmplitudeStep_20pct,20.0,SOGI-FLL,Loop-based,30,0.0054853477513472195,0.00556193200768495,0.0048107910835644505,0.00630421711870034,0.0005589412436009057
Sweep_AmplitudeStep_20pct,20.0,SOGI-PLL,Loop-based,30,0.017664763589756986,0.01594964889765435,0.005693279657872361,0.027807915252980552,0.01048475431552672
Sweep_AmplitudeStep_20pct,20.0,Type-3 SOGI-PLL,Loop-based,30,0.03267671887712029,0.0246071301013508,0.007421303052898321,0.06417820722665815,0.027290204291016244
Sweep_AmplitudeStep_20pct,20.0,ZCD,Loop-based,30,0.01177236648711242,0.0113451689905456,0.00613074088609937,0.01733210873931724,0.004192164317231484
Sweep_AmplitudeStep_20pct,20.0,EKF,Model-based,30,0.002891676147080713,0.00270983575957745,0.00054980814761977,0.00562951622480974,0.001973777596061168
Sweep_AmplitudeStep_20pct,20.0,LKF,Model-based,30,0.00410034386937175,0.0040778827433493505,0.00392316288478669,0.00431243914345637,0.00013099291733124498
Sweep_AmplitudeStep_20pct,20.0,LKF2,Model-based,30,0.006118930572841186,0.0039619576169866,0.00247059943067827,0.01273176294536683,0.004022797058606595
Sweep_AmplitudeStep_20pct,20.0,RA-EKF,Model-based,30,0.0007064249529266167,0.0005753956919315,0.00044009651563187,0.0012108504515288502,0.0003777981588718213
Sweep_AmplitudeStep_20pct,20.0,UKF,Model-based,30,0.0013671557583867734,0.0011254220010973501,0.0005604921421247501,0.0024353875215962803,0.0006649801540786859
Sweep_AmplitudeStep_20pct,20.0,IPDFT,Window-based,30,0.002811788218438097,0.0030881352240634,0.00078395638048624,0.00413309090642379,0.0012701635721020655
Sweep_AmplitudeStep_20pct,20.0,TFT,Window-based,30,0.00166736127571573,0.00181783014297105,0.00082727014491059,0.00236532965218852,0.0006553591602604454
Sweep_AmplitudeStep_25pct,25.0,RLS,Adaptive,30,0.7230126990801525,0.7388801747913818,0.20723279813106607,1.275499449932045,0.376963545260282
